Cycle,Period,Total Profit,Man A (Net),Man B,Man C (From A)
1.0,2025-09,184780.05000000028,77607.62100000012,73912.02000000012,33260.40900000005
2.0,2025-10,184780.05000000028,77607.62100000012,73912.02000000012,33260.40900000005
,2025-10,184780.05000000028,77607.62100000012,73912.02000000012,33260.40900000005
,2025-10,184780.05000000028,77607.62100000012,73912.02000000012,33260.40900000005
,2025-10,184780.05000000028,77607.62100000012,73912.02000000012,33260.40900000005
